# ----------------------------------------
# melissani-cave.com - GA4
# Adsense per page-Free-form 1
# 20240708-20250708
# ----------------------------------------

Landing page + query string,Total ad revenue,Views
/opening-hoursיאסו?fbclid=IwY2xjawIk7ihleHRuA2FlbQIxMQABHeFhv4fbdeURW8brIn0rB9Sujov0Jp4gWTukXcCsGiYRtuXfHeugQbPCAw_aem__thqu9pmA2mYhx5rI89q2Q,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIkJ1ZleHRuA2FlbQIxMQABHU9WF-ew8JVOANjO0Zs7uHy49XGCJTyZGI07RLidoUXF1Aje0KtcZY0P1w_aem_iZMbONk7S_AHoSDn3FBXuQ,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIkMX9leHRuA2FlbQIxMQABHRQCRBTV2B7uzucNwAGkmwWKAoyqarTGWqih6AytPvkgtzjV7z32uYGmLg_aem_DPIHoBC70-P6LLoA-2LrJw,0,3
/opening-hoursיאסו?fbclid=IwY2xjawIkMX9leHRuA2FlbQIxMQABHRQCRBTV2B7uzucNwAGkmwWKAoyqarTGWqih6AytPvkgtzjV7z32uYGmLg_aem_DPIHoBC70-P6LLoA-2LrJw&sfnsn=mo,0,6
/opening-hoursיאסו?fbclid=IwY2xjawIl2OFleHRuA2FlbQIxMQABHSP48vTyL_nJFHpSpjaAoh8oY4ppnajsGBLcF4cfN8DyBjvuiHL8kHawIw_aem_w35NgWY_ETsZolZmzb3s9w,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIlbzJleHRuA2FlbQIxMQABHT02GvBAuc7qlvWEzdGTfMNU_MY9mrk-RBpP1ho2_ZekIKSzjYa-IDT9XA_aem_kJ5xv34Zob7sklVqbpq3yg,0,7
/opening-hoursיאסו?fbclid=IwY2xjawItsmdleHRuA2FlbQIxMQABHaqt_bRjF2GwBnKAkrsa4Us63UI3cpnb7D7MnWof00HY6M-5koFYCt8SgA_aem_IJCIOn8OoOW8hcXyy1te4Q,0,1
/opening-hoursיאסו?fbclid=IwY2xjawIuYlxleHRuA2FlbQIxMQABHSg8KXMzwI6dhSnlkvYZMtQiC1VZlkokFpqd5d1b55rCwi3QUvo5SxX-jw_aem_jg6D0s-5XfW5XaT3cI_6nA,0,2
/opening-hoursיאסו?fbclid=IwY2xjawIxNKJleHRuA2FlbQIxMQABHeHum4CzG5UdG1Onq6auIwnMevctMIhnA8XUKSKyGaiZVcB90h2Arkogfw_aem_gYOmN6vuHpsrKYe6G4EkdA,0,1
/opening-hoursיאסו?fbclid=IwY2xjawJEBFdleHRuA2FlbQIxMQABHXUxW1xR9iJG6Rw6VwZb76sszoDg-tLCY9WGgOIpFFlvhtrUZ2cXMLIEmg_aem_HzfInPl58F5b7ICuKrYMlQ,0,1
/opening-hoursיאסו?fbclid=IwY2xjawJJlsdleHRuA2FlbQIxMQABHWCOXmA_Riqpq0bqibRFK-zzo5dXA5hiicjruVdB4Nl_EUDb2-mUNyX-3g_aem_iiOKIL1HPHHddUpLnVlqaw,0,1
/opening-hoursיאסו?fbclid=IwY2xjawJR-4tleHRuA2FlbQIxMQABHevg43U4UwnIZEazWSWyn29isHOhSLkRWA6JxpRMpRkjfjGaMCXWf1mdtA_aem_hfB9DBU21HzoqOwLIWkJBA,0,1
/opening-hoursיאסו?fbclid=IwY2xjawJean5leHRuA2FlbQIxMQABHk44h-9AXXcwPxhlr1Cl3AAHNMGMnVeQLsYp-UgWgA3-q2k5Wxkpv8zm-zW1_aem_YBMnOIAGO9_TYJ6wk63nDQ,0,19
/opening-hoursיאסו?fbclid=IwZXh0bgNhZW0CMTEAAR0T0TBpRCE-wvF1ckVCw98ExTcU-OgwabIh4Tsx9Q_0EFlYshvnavZe6N4_aem_Os5N9XjtwIrDUew5-xkTxA,0,2
